#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-12T12:56:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-12T12:56:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=V%2f50%2fcatalog&-out.max=unlimited&-out=HR%2cName%2cHD%2cVmag%2cB-V&-out.add=_RAJ2000%2c_DEJ2000&-oc.form=dec	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000	_DEJ2000	HR	Name	HD	Vmag	B-V
deg	deg	 	 	 	mag	mag
----------	----------	----	----------	------	-----	-----
001.291250	+45.229167	   1	          	     3	 6.70	 0.07
001.265833	 -0.503056	   2	          	     6	 6.29	 1.10
001.333750	 -5.707500	   3	 33    Psc	    28	 4.61	 1.04
001.425000	+13.396111	   4	 86    Peg	    87	 5.51	 0.90
001.566667	+58.436667	   5	          	   123	 5.96	 0.67
001.579167	-49.075000	   6	          	   142	 5.70	 0.52
001.610417	+64.196111	   7	 10    Cas	   144	 5.59	-0.03
001.653333	+29.021389	   8	          	   166	 6.13	 0.75
001.708750	-23.107500	   9	          	   203	 6.18	 0.38
001.825833	-17.386389	  10	          	   256	 6.19	 0.14
001.933750	 -2.548889	  11	          	   315	 6.43	-0.14
001.945000	-22.508889	  12	          	   319	 5.94	 0.14
002.014583	-33.529444	  13	          	   344	 5.68	 1.12
002.050417	 -2.447778	  14	          	   352	 6.07	 1.38
002.097083	+29.090556	  15	 21Alp And	   358	 2.06	-0.11
002.072500	 -8.823889	  16	          	   360	 5.99	 1.04
002.170833	+36.626667	  17	          	   400	 6.19	 0.48
002.139167	-17.577500	  18	          	   402	 6.06	 1.67
002.217500	+25.462778	  19	          	   417	 6.23	 0.97
002.334167	+79.714722	  20	          	   431	 6.01	 0.19
002.294583	+59.149722	  21	 11Bet Cas	   432	 2.27	 0.34
002.260000	+18.211944	  22	 87    Peg	   448	 5.53	 1.04
002.260000	-54.001944	  23	          	   469	 6.33	 0.74
002.337500	-27.987778	  24	   Kap1Scl	   493	 5.42	 0.42
002.352917	-45.747500	  25	   Eps Phe	   496	 3.88	 1.03
002.509583	+11.145556	  26	 34    Psc	   560	 5.51	-0.07
002.580417	+46.072222	  27	 22    And	   571	 5.03	 0.40
002.623750	+57.165556	  28	          	   584	 6.74	-0.08
002.578333	 -5.248611	  29	          	   587	 5.84	 0.98
002.508750	-82.223889	  30	   Gam3Oct	   636	 5.28	 1.05
002.678333	-12.580000	  31	          	   645	 5.85	 1.01
002.660833	-73.224444	  32	          	   661	 6.64	 0.37
002.816250	-15.468056	  33	  6    Cet	   693	 4.89	 0.49
002.893333	-27.799722	  34	   Kap2Scl	   720	 5.41	 1.34
002.933333	-35.133056	  35	   The Scl	   739	 5.25	 0.44
002.996250	+48.152500	  36	          	   743	 6.16	 1.45
003.041667	-17.938333	  37	          	   787	 5.25	 1.48
003.210000	+37.693333	  38	          	   829	 6.73	-0.13
003.309167	+15.183611	  39	 88Gam Peg	   886	 2.83	-0.23
003.350000	+26.987222	  40	          	   895	 6.30	 0.65
003.378333	+41.035278	  41	 23    And	   905	 5.72	 0.31
003.425417	-26.021944	  42	          	   942	 5.94	 1.55
003.434167	-26.284722	  43	          	   943	 6.31	 1.48
003.509583	+33.206111	  44	          	   952	 6.25	-0.01
003.650833	+20.206667	  45	 89Chi Peg	  1013	 4.80	 1.57
003.615000	 -7.780556	  46	          	  1014	 5.12	 1.62
003.330833	-84.994167	  47	          	  1032	 5.77	 1.72
003.660000	-18.932778	  48	  7    Cet	  1038	 4.44	 1.66
003.733750	+22.284167	  49	          	  1048	 6.24	-0.01
003.745000	 +8.820833	  50	 35    Psc	  1061	 5.79	 0.31
003.727083	 -9.569722	  51	          	  1064	 5.75	-0.08
003.779167	+31.535833	  52	          	  1075	 6.45	
003.794167	+27.283056	  53	          	  1083	 6.35	-0.02
003.742500	-34.904444	  54	          	  1089	 6.17	 1.34
004.058333	+76.950833	  55	          	  1141	 6.35	-0.07
004.090000	+43.594722	  56	          	  1185	 6.15	 0.05
004.037083	-31.446389	  57	          	  1187	 5.67	 1.35
003.980000	-75.911389	  58	          	  1221	 6.49	 1.00
004.142083	 +8.240000	  59	 36    Psc	  1227	 6.11	 0.92
004.237917	+61.533333	  60	          	  1239	 5.74	 0.88
004.177083	-20.210556	  61	          	  1256	 6.47	-0.09
004.287917	+47.947500	  62	          	  1279	 5.89	-0.09
004.272917	+38.681667	  63	 24The And	  1280	 4.61	 0.06
004.204167	-78.780556	  64	          	  1324	 6.77	 0.46
004.429167	+51.433056	  65	          	  1337	 6.14	-0.13
004.385833	-19.051111	  66	          	  1343	 6.45	 0.37
004.448750	 +1.688889	  67	          	  1367	 6.17	 0.94
004.582083	+36.785278	  68	 25Sig And	  1404	 4.52	 0.05
004.571667	+11.205833	  69	          	  1419	 6.05	 1.03
004.675417	+43.791111	  70	 26    And	  1438	 6.11	-0.08
004.659583	+31.517222	  71	          	  1439	 5.87	-0.01
004.674167	 -8.052778	  72	          	  1461	 6.46	 0.68
004.677500	-43.235278	  73	          	  1483	 6.33	 1.21
004.857083	 -8.823889	  74	  8Iot Cet	  1522	 3.56	 1.22
004.923333	+40.729722	  75	          	  1527	 6.33	 1.18
005.021667	+48.865278	  76	          	  1561	 6.52	
005.017917	-64.874722	  77	   Zet Tuc	  1581	 4.23	 0.58
005.101667	+30.935833	  78	          	  1606	 5.90	-0.10
005.189583	+32.911389	  79	          	  1632	 5.79	 1.59
005.149583	 +8.190278	  80	 41    Psc	  1635	 5.37	 1.34
005.227083	+10.976944	  81	          	  1663	 6.56	
005.280417	+37.968611	  82	 27Rho And	  1671	 5.18	 0.42
005.162500	-69.625000	  83	   Pi  Tuc	  1685	 5.51	-0.05
005.380000	-28.981667	  84	   Iot Scl	  1737	 5.18	 1.00
005.442917	-20.057778	  85	          	  1760	 5.12	 1.82
005.606250	+13.482500	  86	 42    Psc	  1796	 6.23	 1.22
005.369167	-77.426944	  87	          	  1801	 5.97	 1.40
005.715833	-12.209444	  88	  9    Cet	  1835	 6.39	 0.66
005.802500	-31.036111	  89	          	  1909	 6.55	 0.00
006.008333	+38.577222	  90	          	  1967	 7.39	 1.97
